"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 00:00","2023","03","01","00:00","","-0.9","","-3.9","","80","","","","21","","8","","24.1","","99.59","","","","-4","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 01:00","2023","03","01","01:00","","-1.2","","-3.5","","84","","","","22","","9","","24.1","","99.63","","","","-4","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 02:00","2023","03","01","02:00","","-0.8","","-2.9","","86","","","","","","0","","24.1","","99.64","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 03:00","2023","03","01","03:00","","-1.1","","-2.5","","90","","","","22","","5","","24.1","","99.68","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 04:00","2023","03","01","04:00","","-1.9","","-2.6","","95","","","","7","","7","","24.1","","99.57","","","","-5","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 05:00","2023","03","01","05:00","","-0.9","","-1.9","","93","","","","11","","9","","24.1","","99.47","","","","-4","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 06:00","2023","03","01","06:00","","0.0","","0.0","","100","","","","13","","7","","24.1","","99.48","","","","-2","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 07:00","2023","03","01","07:00","","0.5","","0.5","","100","","","","13","","7","","24.1","","99.49","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 08:00","2023","03","01","08:00","","0.8","","0.8","","100","","","","12","","12","","24.1","","99.47","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-01 09:00","2023","03","01","09:00","","1.3","","-1.8","","80","","","","11","","19","","24.1","","99.33","","","","","","NA"
