"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 00:00","2026","03","01","00:00","","-6.7","","-9.3","","82","","","","33","","19","","6.4","","100.36","","","","-14","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 01:00","2026","03","01","01:00","","-6.1","","-11.3","","67","","","","33","","19","","19.3","","100.34","","","","-13","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 02:00","2026","03","01","02:00","","-6.4","","-12.7","","61","","","","32","","22","","24.1","","100.38","","","","-14","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 03:00","2026","03","01","03:00","","-6.6","","-13.4","","59","","","","34","","27","","24.1","","100.44","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 04:00","2026","03","01","04:00","","-7.1","","-13.5","","61","","","","33","","19","","24.1","","100.47","","","","-14","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 05:00","2026","03","01","05:00","","-8.1","","-14.3","","61","","","","34","","21","","24.1","","100.56","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 06:00","2026","03","01","06:00","","-9.0","","-14.2","","66","","","","33","","19","","24.1","","100.61","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 07:00","2026","03","01","07:00","","-9.9","","-14.8","","68","","","","31","","15","","24.1","","100.69","","","","-17","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 08:00","2026","03","01","08:00","","-9.6","","-15.1","","65","","","","34","","22","","24.1","","100.80","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 09:00","2026","03","01","09:00","","-9.4","","-15.5","","62","","","","34","","19","","24.1","","100.90","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 10:00","2026","03","01","10:00","","-9.0","","-16.5","","55","","","","34","","17","","24.1","","100.97","","","","-16","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 11:00","2026","03","01","11:00","","-8.3","","-17.1","","50","","","","34","","16","","24.1","","101.04","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 12:00","2026","03","01","12:00","","-7.8","","-17.3","","47","","","","35","","19","","24.1","","101.08","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 13:00","2026","03","01","13:00","","-7.8","","-17.7","","46","","","","36","","22","","24.1","","101.09","","","","-15","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 14:00","2026","03","01","14:00","","-7.3","","-19.3","","38","","","","34","","22","","24.1","","101.09","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 15:00","2026","03","01","15:00","","-7.2","","-17.2","","45","","","","1","","22","","24.1","","101.11","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 16:00","2026","03","01","16:00","","-7.3","","-17.3","","45","","","","34","","17","","24.1","","101.13","","","","-14","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 17:00","2026","03","01","17:00","","-8.1","","-16.4","","52","","","","2","","18","","24.1","","101.17","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 18:00","2026","03","01","18:00","","-9.0","","-16.7","","54","","","","36","","19","","24.1","","101.21","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 19:00","2026","03","01","19:00","","-10.3","","-17.1","","58","","","","1","","18","","24.1","","101.29","","","","-18","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 20:00","2026","03","01","20:00","","-10.8","","-17.2","","60","","","","35","","18","","24.1","","101.34","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 21:00","2026","03","01","21:00","","-11.5","","-17.6","","61","","","","35","","16","","24.1","","101.40","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 22:00","2026","03","01","22:00","","-11.6","","-17.5","","62","","","","34","","16","","24.1","","101.42","","","","-19","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-01 23:00","2026","03","01","23:00","","-12.8","","-17.8","","66","","","","28","","8","","24.1","","101.44","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 00:00","2026","03","02","00:00","","-12.0","","-17.1","","66","","","","31","","7","","24.1","","101.45","","","","-16","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 01:00","2026","03","02","01:00","","-12.0","","-16.9","","67","","","","30","","9","","24.1","","101.47","","","","-17","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 02:00","2026","03","02","02:00","","-13.1","","-18.4","","65","","","","28","","8","","24.1","","101.51","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 03:00","2026","03","02","03:00","","-12.8","","-18.6","","62","","","","30","","6","","24.1","","101.48","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 04:00","2026","03","02","04:00","","-13.2","","-18.8","","63","","","","36","","5","","24.1","","101.44","","","","-17","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 05:00","2026","03","02","05:00","","-13.9","","-20.0","","60","","","","27","","4","","24.1","","101.46","","","","-17","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 06:00","2026","03","02","06:00","","-13.5","","-18.7","","66","","","","32","","9","","24.1","","101.56","","","","-19","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 07:00","2026","03","02","07:00","","-13.6","","-18.9","","65","","","","2","","9","","24.1","","101.58","","","","-19","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 08:00","2026","03","02","08:00","","-12.3","","-18.9","","58","","","","2","","9","","24.1","","101.64","","","","-18","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 09:00","2026","03","02","09:00","","-10.2","","-18.0","","53","","","","33","","4","","24.1","","101.73","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 10:00","2026","03","02","10:00","","-8.5","","-17.0","","51","","","","","","0","","24.1","","101.68","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 11:00","2026","03","02","11:00","","-6.8","","-17.1","","44","","","","10","","4","","24.1","","101.62","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 12:00","2026","03","02","12:00","","-6.2","","-16.4","","45","","","","16","","7","","24.1","","101.53","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 13:00","2026","03","02","13:00","","-5.5","","-14.8","","49","","","","14","","13","","24.1","","101.47","","","","-11","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 14:00","2026","03","02","14:00","","-5.5","","-15.2","","47","","","","13","","12","","24.1","","101.38","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 15:00","2026","03","02","15:00","","-5.1","","-15.3","","45","","","","12","","13","","24.1","","101.33","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 16:00","2026","03","02","16:00","","-5.2","","-14.7","","48","","","","15","","12","","24.1","","101.28","","","","-10","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 17:00","2026","03","02","17:00","","-5.3","","-15.7","","44","","","","10","","12","","24.1","","101.21","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 18:00","2026","03","02","18:00","","-5.4","","-16.5","","42","","","","13","","7","","24.1","","101.17","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 19:00","2026","03","02","19:00","","-5.4","","-14.8","","48","","","","11","","7","","24.1","","101.17","","","","-9","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 20:00","2026","03","02","20:00","","-5.6","","-13.9","","52","","","","12","","8","","24.1","","101.12","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 21:00","2026","03","02","21:00","","-5.7","","-12.1","","61","","","","10","","5","","24.1","","101.08","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 22:00","2026","03","02","22:00","","-5.4","","-10.6","","67","","","","15","","8","","24.1","","100.99","","","","-9","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-02 23:00","2026","03","02","23:00","","-4.9","","-9.3","","71","","","","11","","4","","24.1","","100.97","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 00:00","2026","03","03","00:00","","-4.7","","-8.6","","74","","","","10","","3","","24.1","","100.92","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 01:00","2026","03","03","01:00","","-5.2","","-8.8","","76","","","","8","","5","","24.1","","100.81","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 02:00","2026","03","03","02:00","","-6.5","","-9.9","","77","","","","1","","10","","24.1","","100.79","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 03:00","2026","03","03","03:00","","-8.2","","-11.7","","76","","","","31","","8","","24.1","","100.73","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 04:00","2026","03","03","04:00","","-7.8","","-11.2","","77","","","","34","","5","","24.1","","100.69","","","","-10","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 05:00","2026","03","03","05:00","","-7.2","","-10.4","","78","","","","32","","7","","24.1","","100.63","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 06:00","2026","03","03","06:00","","-7.1","","-10.1","","79","","","","36","","5","","24.1","","100.64","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 07:00","2026","03","03","07:00","","-6.9","","-9.8","","80","","","","2","","8","","24.1","","100.61","","","","-11","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 08:00","2026","03","03","08:00","","-5.5","","-8.2","","81","","","","36","","7","","19.3","","100.60","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 09:00","2026","03","03","09:00","","-3.8","","-6.8","","79","","","","2","","6","","19.3","","100.56","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 10:00","2026","03","03","10:00","","-1.6","","-5.9","","73","","","","11","","5","","16.1","","100.53","","","","-3","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 11:00","2026","03","03","11:00","","0.1","","-4.8","","69","","","","13","","7","","19.3","","100.42","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 12:00","2026","03","03","12:00","","1.3","","-4.1","","68","","","","15","","9","","19.3","","100.33","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 13:00","2026","03","03","13:00","","2.2","","-4.0","","64","","","","7","","7","","24.1","","100.22","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 14:00","2026","03","03","14:00","","2.6","","-6.0","","53","","","","7","","14","","24.1","","100.11","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 15:00","2026","03","03","15:00","","2.3","","-4.0","","63","","","","11","","9","","24.1","","100.07","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 16:00","2026","03","03","16:00","","1.5","","-3.4","","70","","","","9","","12","","24.1","","100.02","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 17:00","2026","03","03","17:00","","0.9","","-3.0","","75","","","","9","","9","","19.3","","99.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 18:00","2026","03","03","18:00","","0.7","","-2.6","","79","","","","11","","7","","19.3","","99.99","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 19:00","2026","03","03","19:00","","0.6","","-2.5","","80","","","","","","0","","24.1","","100.03","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 20:00","2026","03","03","20:00","","0.7","","-2.9","","77","","","","2","","8","","24.1","","100.05","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 21:00","2026","03","03","21:00","","0.9","","-3.1","","75","","","","6","","4","","24.1","","100.03","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 22:00","2026","03","03","22:00","","-0.5","","-3.5","","80","","","","28","","5","","24.1","","100.10","","","","-2","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-03 23:00","2026","03","03","23:00","","-0.4","","-3.7","","78","","","","28","","5","","16.1","","100.13","","","","-2","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 00:00","2026","03","04","00:00","","-0.4","","-3.2","","82","","","","22","","7","","16.1","","100.13","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 01:00","2026","03","04","01:00","","-1.4","","-3.6","","85","","","","21","","9","","16.1","","100.15","","","","-5","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 02:00","2026","03","04","02:00","","-1.8","","-3.7","","87","","","","22","","5","","16.1","","100.18","","","","-4","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 03:00","2026","03","04","03:00","","-2.6","","-4.2","","89","","","","33","","15","","16.1","","100.19","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 04:00","2026","03","04","04:00","","-3.0","","-5.0","","86","","","","32","","9","","16.1","","100.23","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 05:00","2026","03","04","05:00","","-2.2","","-5.2","","81","","","","35","","13","","16.1","","100.26","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 06:00","2026","03","04","06:00","","-2.1","","-5.1","","80","","","","20","","7","","24.1","","100.33","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 07:00","2026","03","04","07:00","","-1.5","","-4.1","","82","","","","16","","3","","16.1","","100.39","","","","-3","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 08:00","2026","03","04","08:00","","-0.8","","-3.7","","81","","","","","","0","","16.1","","100.43","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 09:00","2026","03","04","09:00","","1.6","","-2.8","","73","","","","1","","7","","16.1","","100.46","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 10:00","2026","03","04","10:00","","3.0","","-3.2","","64","","","","","","0","","16.1","","100.45","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 11:00","2026","03","04","11:00","","5.2","","-4.1","","51","","","","15","","12","","19.3","","100.40","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 12:00","2026","03","04","12:00","","5.4","","-5.2","","46","","","","14","","13","","19.3","","100.37","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 13:00","2026","03","04","13:00","","6.0","","-5.8","","43","","","","13","","12","","24.1","","100.30","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 14:00","2026","03","04","14:00","","6.5","","-5.6","","42","","","","14","","13","","24.1","","100.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 15:00","2026","03","04","15:00","","6.7","","-6.9","","37","","","","9","","4","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 16:00","2026","03","04","16:00","","7.4","","-5.7","","39","","","","11","","5","","19.3","","100.14","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 17:00","2026","03","04","17:00","","7.4","","-8.3","","32","","","","15","","10","","24.1","","100.11","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 18:00","2026","03","04","18:00","","5.7","","-9.6","","32","","","","15","","6","","24.1","","100.14","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 19:00","2026","03","04","19:00","","5.0","","-9.1","","35","","","","17","","8","","24.1","","100.17","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 20:00","2026","03","04","20:00","","2.7","","-4.8","","58","","","","15","","8","","24.1","","100.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 21:00","2026","03","04","21:00","","2.2","","-3.0","","69","","","","14","","3","","19.3","","100.16","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 22:00","2026","03","04","22:00","","2.0","","-2.8","","70","","","","","","0","","19.3","","100.11","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-04 23:00","2026","03","04","23:00","","1.7","","-2.6","","73","","","","18","","4","","16.1","","100.05","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 00:00","2026","03","05","00:00","","0.9","","-2.3","","79","","","","20","","4","","12.9","","100.09","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 01:00","2026","03","05","01:00","","0.3","","-2.5","","82","","","","","","0","","12.9","","100.07","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 02:00","2026","03","05","02:00","","0.0","","-3.0","","81","","","","","","0","","16.1","","100.05","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 03:00","2026","03","05","03:00","","-0.8","","-4.0","","79","","","","36","","6","","16.1","","100.01","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 04:00","2026","03","05","04:00","","-1.1","","-4.8","","76","","","","36","","11","","12.9","","99.98","","","","-5","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 05:00","2026","03","05","05:00","","-0.9","","-4.7","","76","","","","36","","7","","19.3","","100.03","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 06:00","2026","03","05","06:00","","-0.1","","-4.6","","71","","","","1","","8","","19.3","","100.08","","","","-3","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 07:00","2026","03","05","07:00","","0.7","","-4.8","","67","","","","3","","10","","24.1","","100.07","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 08:00","2026","03","05","08:00","","1.3","","-5.0","","63","","","","3","","5","","24.1","","100.17","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 09:00","2026","03","05","09:00","","4.3","","-7.3","","43","","","","9","","14","","24.1","","100.21","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 10:00","2026","03","05","10:00","","3.8","","-4.1","","56","","","","7","","24","","24.1","","100.25","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 11:00","2026","03","05","11:00","","4.8","","-1.9","","62","","","","11","","22","","24.1","","100.25","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 12:00","2026","03","05","12:00","","4.3","","-2.1","","63","","","","8","","20","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 13:00","2026","03","05","13:00","","4.7","","-2.0","","62","","","","9","","20","","24.1","","100.08","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 14:00","2026","03","05","14:00","","4.2","","-2.2","","63","","","","8","","18","","24.1","","100.01","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 15:00","2026","03","05","15:00","","3.9","","-1.4","","68","","","","9","","17","","24.1","","99.99","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 16:00","2026","03","05","16:00","","3.3","","-0.6","","76","","","","9","","16","","16.1","","100.03","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 17:00","2026","03","05","17:00","","2.6","","0.0","","83","","","","9","","14","","16.1","","100.02","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 18:00","2026","03","05","18:00","","1.8","","0.0","","88","","","","9","","11","","16.1","","100.01","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 19:00","2026","03","05","19:00","","1.9","","0.2","","89","","","","5","","12","","16.1","","100.04","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 20:00","2026","03","05","20:00","","1.9","","0.3","","89","","","","12","","6","","16.1","","100.09","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 21:00","2026","03","05","21:00","","1.8","","0.1","","89","","","","10","","10","","16.1","","100.12","","","","","","Rain"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 22:00","2026","03","05","22:00","","1.7","","-0.9","","83","","","","9","","18","","19.3","","100.14","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-05 23:00","2026","03","05","23:00","","1.7","","-2.5","","74","","","","6","","16","","24.1","","100.12","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-06 00:00","2026","03","06","00:00","","1.6","","-3.0","","71","","","","10","","12","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-06 01:00","2026","03","06","01:00","","1.2","","-3.3","","72","","","","10","","4","","24.1","","100.23","","","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-06 02:00","2026","03","06","02:00","","1.1","","-2.9","","74","","","","12","","9","","24.1","","100.21","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2026-03-06 03:00","2026","03","06","03:00","","0.4","","-3.1","","77","","","","10","","14","","24.1","","100.22","","","","","","NA"
